"","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","p_0001","v_113","v_114","meduse_1","meduse_2","meduse_3","medtime_1","medtime_2","medtime_3","medcondsoz_1","medcondsoz_2","medcondsoz_3","medcondsoz_4","medcondsoz_5","medcondsoz_6","medcondsoz_7","medcondsoz_8","medcondsoz_9","medcondsoz_10","v_48","medcondsoz_11","med_act","finan1","finan2","finan3","trust1","trust2","trust3","trust4","trust5","tsec1","tsec2","tsec3","tfree1","tfree2","tfree3","ssec1","ssec2","ssec3","sfree1","sfree2","sfree3","att","man_finance","man_finance_ctrl","man_eff","man_eff_ctrl","man_acc1","man_acc2","narrative_1","narrative_2","narrative_3","narrative_4","narrative_5","narrative_6","narrative_7","narrative_8","man_check1","man_check2","v_126","v_127","heiz1","heiz2","heiz3","heiz4","heiz5","heiz6","heiz7","heiz8","heiz9","heiz10","v_109","pol","v_7","SES","gender","age","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","quota_rejected_id","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","date_of_first_mail","rts7164300","rts7164302","rts7164304","rts7164305","rts7164306","rts7164307","rts7164308","rts7164309","rts7164310","rts7164312","rts7164313","rts7164314","rts7164315","rts7164316","rts7164317","rts7164318","rts7164319","rts7164320","rts7164321","rts7164322","rnd_pg_7164311_1","rnd_pg_7164311_2","rnd_pg_7164311_3","rnd_pg_7164311_4","rnd_pg_7164311_5","rnd_pg_7164311_6","rnd_pg_7164311_7","rnd_pg_7164311_8"
"230",264,0,0,31,7101365,NA,1065,2,289768833648750,0,1,2,9,9,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,7,7,7,1,6,7,4,4,3,5,4,4,1,1,1,1,1,1,1,1,NA,6,NA,4,5,2,3,1,5,1,5,4,4,4,4,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,3,NA,8,2,60,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113513,7113514,7113510,7113511,7113515,7113516,7113508,7113507,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"92cd94f4351bd33edd7ff1a93e62301e",1,0,1728929634,"2024-10-14 18:13:54","2024-10-14 18:31:39","0000-00-00 00:00:00",5,1065,177,103,238,478,560,496,575,928,904,723,758,645,686,832,867,965,975,0,7113513,7113514,7113510,7113511,7113515,7113516,7113508,7113507
"231",265,0,0,31,7101365,NA,508,1,289762377575532,0,1,2,9,9,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,6,5,3,4,4,2,2,5,2,2,2,2,2,2,2,2,2,1,1,NA,5,NA,4,4,2,4,2,4,1,4,1,3,3,3,NA,NA,0,0,0,0,0,0,0,0,0,1,"Fernwärme",4,NA,8,2,74,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0.1 Safari/605.1.15",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7101447,7101447,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113515,7113514,7113508,7113516,7113507,7113511,7113513,7113510,7113517,7113518,7101522,7101365",0,0,0,NA,NA,"733a501849a39a3e7e351c45b3775de9",1,0,1728929635,"2024-10-14 18:13:55","2024-10-14 18:22:23","0000-00-00 00:00:00",5,508,102,68,125,179,255,226,260,386,326,453,397,418,318,305,352,464,486,0,7113515,7113514,7113508,7113516,7113507,7113511,7113513,7113510
"232",266,0,0,31,7101365,NA,486,2,289768833512513,0,1,2,4,2,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,6,6,1,6,4,1,2,6,1,5,4,7,3,6,7,7,7,7,1,3,NA,1,NA,1,1,1,2,1,1,1,1,1,1,1,1,NA,NA,0,0,0,0,0,0,0,0,0,1,"Fernheizung",7,NA,7,2,64,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","https://deref-gmx.net/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113507,7113510,7113508,7113513,7113515,7113516,7113511,7113514,7113517,7113518,7101522,7101365",1,0,0,NA,NA,"faf008c84841baa7a267cc9da0287f4f",1,0,1728929728,"2024-10-14 18:15:28","2024-10-14 18:23:34","0000-00-00 00:00:00",18,486,172,127,214,249,330,294,333,357,379,371,410,386,416,393,404,430,456,0,7113507,7113510,7113508,7113513,7113515,7113516,7113511,7113514
"233",267,0,0,31,7101365,NA,1969,1,289768834377861,0,1,1,9,9,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,6,6,6,3,5,6,4,5,4,5,5,5,7,7,6,6,7,7,1,5,NA,4,NA,2,2,3,4,2,3,2,4,3,3,4,3,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,1,NA,3,2,73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","https://email.t-online.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113508,7113511,7113513,7113516,7113514,7113515,7113510,7113507,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"130678507c634f704ed63aa8c64a396b",1,0,1728929876,"2024-10-14 18:17:56","2024-10-14 18:50:45","0000-00-00 00:00:00",15,1969,443,342,531,636,861,738,1085,1849,1146,1807,1253,1490,1732,1776,1556,1880,1900,0,7113508,7113511,7113513,7113516,7113514,7113515,7113510,7113507
"234",268,0,0,31,7101365,NA,758,3,289768833447982,0,1,2,9,9,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,2,2,1,1,4,4,4,5,4,4,4,4,4,4,5,5,NA,NA,1,NA,1,1,1,1,1,1,2,2,2,2,2,NA,NA,1,1,0,0,0,0,1,0,0,0,0,0,NA,9,NA,6,2,53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36 Edg/89.0.774.68","https://deref-web.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113510,7113507,7113515,7113514,7113511,7113508,7113516,7113513,7113517,7113518,7101522,7101365",1,0,0,NA,NA,"d7e865b38442ccfe65076f997dd89c53",1,0,1728930125,"2024-10-14 18:22:05","2024-10-14 18:34:43","0000-00-00 00:00:00",10,758,180,89,241,266,399,309,404,476,589,455,571,636,531,495,607,658,682,0,7113510,7113507,7113515,7113514,7113511,7113508,7113516,7113513
"235",271,0,0,31,7101365,NA,462,1,289768835259578,0,1,4,8,8,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,6,6,3,1,3,4,2,5,4,6,2,3,3,5,4,2,2,5,1,2,NA,3,NA,3,3,1,4,1,4,1,5,1,4,3,3,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,3,NA,7,2,65,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113508,7113511,7113510,7113507,7113515,7113514,7113516,7113513,7113517,7113518,7101522,7101365",0,0,0,NA,NA,"6bce0d3921044f2c7620fd75ce1becd4",1,0,1728930454,"2024-10-14 18:27:34","2024-10-14 18:35:16","0000-00-00 00:00:00",4,462,83,53,125,171,262,206,274,361,292,346,329,421,384,369,402,434,438,0,7113508,7113511,7113510,7113507,7113515,7113514,7113516,7113513
"236",272,0,0,31,7101365,NA,1111,3,289768834563269,0,1,2,1,6,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,4,0,4,5,3,5,4,4,4,4,4,4,4,4,3,3,NA,NA,1,NA,5,3,3,5,5,4,4,3,5,3,4,NA,NA,3,3,0,0,0,0,0,1,0,0,0,0,NA,1,NA,6,1,69,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113513,7113511,7113514,7113508,7113510,7113516,7113507,7113515,7113517,7113518,7101522,7101522,7101522,7101365",1,0,0,NA,NA,"6754d0fc6d3e9e58bd8b62f2639a53af",1,0,1728930829,"2024-10-14 18:33:49","2024-10-14 18:52:20","0000-00-00 00:00:00",6,1111,179,89,323,414,576,474,602,1007,852,903,691,648,807,1026,965,1045,1065,0,7113513,7113511,7113514,7113508,7113510,7113516,7113507,7113515
"237",273,0,0,31,7101365,NA,1798,3,289768834794518,0,1,1,8,9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,5,7,6,3,6,5,4,5,6,4,4,4,1,1,1,1,1,1,NA,NA,1,NA,6,5,4,3,4,2,4,2,5,3,5,NA,NA,1,1,0,0,0,0,0,1,0,0,0,0,NA,1,NA,4,1,74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7113504,7112415,7112415,7112415,7113506,7119467,7113511,7113510,7113507,7113508,7113513,7113514,7113515,7113516,7113517,7113518,7101522,7101365",1,0,0,NA,NA,"f47d7f51e03ac3446bf19f8b0df82d63",1,0,1728930860,"2024-10-14 18:34:20","2024-10-14 19:04:18","0000-00-00 00:00:00",14,1798,247,127,380,846,1146,885,1173,1358,1431,1303,1245,1485,1542,1614,1672,1729,1740,0,7113511,7113510,7113507,7113508,7113513,7113514,7113515,7113516
"238",274,0,0,31,7101365,NA,376,1,289768834603220,0,1,1,9,9,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,NA,4,NA,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,3,NA,6,2,71,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113510,7113511,7113515,7113514,7113516,7113513,7113507,7113508,7113517,7113518,7101522,7101365",0,0,0,NA,NA,"2a8d32b50ce70b7fe36901cf7e7b71e4",1,0,1728931028,"2024-10-14 18:37:08","2024-10-14 18:43:24","0000-00-00 00:00:00",6,376,110,60,142,147,215,178,219,298,306,241,258,291,277,268,284,321,333,0,7113510,7113511,7113515,7113514,7113516,7113513,7113507,7113508
"239",275,0,0,31,7101365,NA,537,3,289762377777347,0,1,2,9,9,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,6,6,6,6,3,5,4,4,5,5,5,4,4,4,4,4,5,5,5,NA,NA,2,NA,4,3,3,2,4,2,3,2,3,2,3,NA,NA,3,3,0,0,0,0,0,1,0,0,0,0,NA,8,"Volt",8,2,70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0","https://webmail.freenet.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113516,7113507,7113514,7113513,7113510,7113508,7113511,7113515,7113517,7113518,7101522,7101365",0,0,0,NA,NA,"dc35e069983af888d28e1d698f97bb49",1,0,1728931125,"2024-10-14 18:38:45","2024-10-14 18:47:42","0000-00-00 00:00:00",9,537,132,81,170,182,271,212,276,329,427,396,443,386,354,451,299,470,479,0,7113516,7113507,7113514,7113513,7113510,7113508,7113511,7113515
"240",276,0,0,31,7101365,NA,1387,2,289768834222147,0,1,9,2,8,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,3,3,4,3,6,5,5,6,4,5,7,7,7,7,7,7,2,5,NA,3,NA,1,1,3,4,2,5,3,3,4,3,2,3,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,1,NA,5,1,70,"Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0","https://deref-web.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113516,7113508,7113507,7113510,7113514,7113515,7113511,7113513,7113517,7113518,7101522,7101365",0,0,0,NA,NA,"c8cdca00babf0cf01ad33766b9f11878",1,0,1728931189,"2024-10-14 18:39:49","2024-10-14 19:02:56","0000-00-00 00:00:00",6,1387,266,147,320,510,852,578,868,985,950,1027,1224,1272,1084,1163,906,1305,1322,0,7113516,7113508,7113507,7113510,7113514,7113515,7113511,7113513
"241",277,0,0,31,7101365,NA,1203,1,289762377932823,0,1,9,9,9,3,1,1,0,0,0,0,0,0,1,0,0,0,NA,0,2,1,2,2,2,2,2,3,4,7,6,4,7,7,7,4,4,4,4,4,4,2,5,NA,4,NA,3,3,3,4,2,4,3,4,3,3,4,3,NA,NA,0,0,0,0,0,0,0,0,0,1,"Fernwärme",3,NA,5,1,55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113514,7113513,7113511,7113510,7113516,7113507,7113508,7113515,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"ddaf136914a339679d95ecdcabb2dbc0",1,0,1728931219,"2024-10-14 18:40:19","2024-10-14 19:00:22","0000-00-00 00:00:00",113,1203,216,166,260,483,719,535,781,1050,1077,981,918,881,840,1103,1012,1127,1148,0,7113514,7113513,7113511,7113510,7113516,7113507,7113508,7113515
"242",278,0,0,31,7101365,NA,1193,3,289768834508977,0,1,3,2,8,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,7,7,5,2,1,1,1,1,6,6,6,2,2,1,1,1,1,1,1,NA,NA,1,NA,6,4,4,5,2,5,4,3,2,4,3,NA,NA,4,4,1,0,0,0,0,0,0,0,0,0,NA,6,NA,6,2,61,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0","https://email.t-online.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113514,7113507,7113511,7113510,7113515,7113516,7113513,7113508,7113517,7113518,7101522,7101365",1,1,0,NA,NA,"29318600308617617f197059fb103986",1,0,1728931229,"2024-10-14 18:40:29","2024-10-14 19:00:22","0000-00-00 00:00:00",9,1193,140,60,361,780,875,801,879,932,1098,989,965,1082,913,1028,1055,1117,1130,0,7113514,7113507,7113511,7113510,7113515,7113516,7113513,7113508
"243",279,0,0,31,7101365,NA,483,2,289768832449743,0,1,4,7,8,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,3,7,2,1,2,1,4,4,4,5,4,4,7,7,7,7,7,7,2,5,NA,3,NA,1,1,3,1,1,3,1,1,3,1,1,1,NA,NA,0,0,0,0,0,0,0,0,0,1,"Fernwärme",1,NA,6,2,58,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113514,7113516,7113508,7113511,7113507,7113513,7113510,7113515,7113517,7113518,7101522,7101365",1,0,0,NA,NA,"2a6835a16ce5c1e8f1d5da28f8abd458",1,0,1728931410,"2024-10-14 18:43:30","2024-10-14 18:51:33","0000-00-00 00:00:00",7,483,101,62,138,192,264,234,275,378,345,396,359,388,312,409,323,422,442,0,7113514,7113516,7113508,7113511,7113507,7113513,7113510,7113515
"244",280,0,0,31,7101365,NA,922,1,289768834068488,0,1,5,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,6,6,6,2,3,2,3,4,7,4,6,6,6,6,5,6,7,7,7,1,3,NA,2,NA,1,1,3,2,4,5,4,4,5,2,2,2,NA,NA,0,1,0,0,1,0,0,0,0,0,NA,1,NA,5,2,50,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113516,7113507,7113515,7113508,7113511,7113514,7113510,7113513,7113517,7113518,7101522,7101365",1,0,0,NA,NA,"d57c25dbe4272eaaa11ba0a86af365e7",1,0,1728931672,"2024-10-14 18:47:52","2024-10-14 19:03:14","0000-00-00 00:00:00",4,922,159,71,376,469,547,505,555,631,693,831,762,874,804,659,596,889,897,0,7113516,7113507,7113515,7113508,7113511,7113514,7113510,7113513
"245",281,0,0,31,7101365,NA,398,3,289762377465923,0,1,6,3,6,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,4,1,1,1,1,1,1,7,4,5,4,4,4,4,4,7,7,7,NA,NA,1,NA,1,1,1,1,1,5,1,1,1,2,1,NA,NA,1,1,0,0,0,0,1,0,0,0,0,0,NA,10,NA,5,2,53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","https://survey.maximiles.com/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113513,7113514,7113507,7113510,7113508,7113515,7113516,7113511,7113517,7113518,7101522,7101365",0,0,0,NA,NA,"978bc21e165edfbb49fb7773c8ecbfde",1,0,1728931914,"2024-10-14 18:51:54","2024-10-14 18:58:32","0000-00-00 00:00:00",5,398,126,85,159,174,243,205,249,282,305,295,340,261,271,316,328,355,365,0,7113513,7113514,7113507,7113510,7113508,7113515,7113516,7113511
"246",282,0,0,31,7101365,NA,2835,3,289768832342183,0,1,8,2,8,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,7,6,3,5,4,2,6,4,6,2,4,1,1,1,4,4,4,NA,NA,1,NA,2,2,3,4,4,1,2,1,3,3,4,NA,NA,1,1,0,0,0,0,0,1,0,0,0,0,NA,3,NA,7,2,73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113514,7113507,7113508,7113511,7113516,7113513,7113510,7113515,7113517,7113518,7101522,7101365",0,0,0,NA,NA,"88764ae51750fcfb8dd44f26f5efe5c0",1,0,1728931935,"2024-10-14 18:52:15","2024-10-14 19:39:30","0000-00-00 00:00:00",9,2835,301,180,2110,2111,2241,2144,2259,2370,2446,2671,2510,2627,2332,2729,2567,2773,2783,0,7113514,7113507,7113508,7113511,7113516,7113513,7113510,7113515
"247",283,0,0,31,7101365,NA,655,1,289768834111512,0,1,3,3,8,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,5,2,1,1,3,3,4,4,5,4,4,4,5,5,5,4,5,1,3,NA,3,NA,2,2,2,4,3,2,4,3,3,2,2,2,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,7,NA,5,2,63,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113511,7113507,7113516,7113515,7113513,7113508,7113514,7113510,7113517,7113518,7101522,7101365",1,1,0,NA,NA,"db4eea8042ada6436e0910bc8683c32a",1,0,1728931950,"2024-10-14 18:52:30","2024-10-14 19:03:25","0000-00-00 00:00:00",5,655,168,99,212,244,351,300,364,404,524,575,393,501,555,448,415,594,602,0,7113511,7113507,7113516,7113515,7113513,7113508,7113514,7113510
"248",285,0,0,31,7101365,NA,473,3,289762377536606,0,1,4,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,7,6,7,5,5,6,6,4,5,6,5,5,5,6,4,6,7,5,NA,NA,4,NA,6,5,4,3,5,4,5,3,4,4,4,NA,NA,5,4,0,0,0,1,0,1,0,0,0,0,NA,1,NA,7,2,55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113511,7113507,7113515,7113508,7113510,7113514,7113513,7113516,7113517,7113518,7101522,7101365",1,0,0,NA,NA,"c6f561cc57fc8a06c33be759481d9f72",1,0,1728932248,"2024-10-14 18:57:28","2024-10-14 19:05:22","0000-00-00 00:00:00",20,474,115,78,128,227,303,278,320,352,384,394,336,410,401,377,421,445,454,0,7113511,7113507,7113515,7113508,7113510,7113514,7113513,7113516
"249",286,0,0,31,7101365,NA,472,1,289762377462850,0,1,9,9,9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,6,6,6,5,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,NA,3,NA,3,3,2,1,1,2,1,2,2,1,2,2,NA,NA,0,0,0,0,0,0,0,0,0,1,"Fernwärme",1,NA,8,1,64,"Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113514,7113515,7113511,7113507,7113510,7113508,7113513,7113516,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"bd21c7b079751c51f43df7b03b2b1a7e",1,0,1728932374,"2024-10-14 18:59:34","2024-10-14 19:07:26","0000-00-00 00:00:00",4,472,93,58,118,188,251,205,256,354,380,372,339,392,291,305,405,426,449,0,7113514,7113515,7113511,7113507,7113510,7113508,7113513,7113516
"250",287,0,0,31,7101365,NA,1094,1,289768833999099,0,1,2,5,6,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,5,4,3,3,3,3,4,2,4,3,3,5,5,5,7,7,7,2,3,NA,4,NA,1,2,3,3,3,4,3,5,3,3,2,2,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,6,NA,6,1,66,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","https://meinungsplatz.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113507,7113508,7113515,7113516,7113514,7113510,7113511,7113513,7113517,7113518,7101522,7101365",0,0,0,NA,NA,"91776b4abedcacf55f1762578d782ee2",1,0,1728932509,"2024-10-14 19:01:49","2024-10-14 19:20:03","0000-00-00 00:00:00",14,1094,308,223,411,488,654,557,685,730,761,925,963,1004,896,816,858,1034,1047,0,7113507,7113508,7113515,7113516,7113514,7113510,7113511,7113513
"251",288,0,0,31,7101365,NA,505,1,289768835098754,0,1,5,9,9,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,6,1,1,1,1,5,7,5,4,6,4,6,6,6,4,5,5,1,5,NA,2,NA,1,1,1,1,1,1,1,1,4,3,1,3,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,7,NA,2,2,64,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0","https://email.t-online.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113513,7113514,7113516,7113510,7113508,7113507,7113515,7113511,7113517,7113518,7101522,7101365",1,0,0,NA,NA,"7a7b70a3264e15146f7aac9c0e276427",1,0,1728932632,"2024-10-14 19:03:52","2024-10-14 19:12:17","0000-00-00 00:00:00",6,505,135,74,181,199,320,268,329,411,395,384,438,345,356,424,369,462,468,0,7113513,7113514,7113516,7113510,7113508,7113507,7113515,7113511
"252",289,0,0,31,7101365,NA,806,1,289768834379910,0,1,2,8,9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,5,5,2,4,4,3,5,6,6,6,6,6,6,6,7,7,7,2,5,NA,4,NA,2,2,4,5,3,5,4,4,3,4,2,3,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,1,NA,6,1,67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113507,7113515,7113508,7113511,7113516,7113513,7113514,7113510,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"d4b79b85ec3a59c7e028ae1bdac7eb3a",1,0,1728932749,"2024-10-14 19:05:49","2024-10-14 19:19:15","0000-00-00 00:00:00",5,806,140,89,182,300,396,345,407,443,523,733,576,649,693,477,607,760,765,0,7113507,7113515,7113508,7113511,7113516,7113513,7113514,7113510
